Ma,Re_L,alpha_L,c_i,c_r,family
3,1232.350046,0.088276,-5.00505502e-03,1.78560966e-01,TS
3,1386.335959,0.088276,-4.34415263e-03,1.78240373e-01,TS
3,1559.562883,0.088276,-3.69705935e-03,1.77927779e-01,TS
3,1754.435043,0.088276,-3.05960226e-03,1.77620741e-01,TS
3,1973.657075,0.088276,-2.42822870e-03,1.77316309e-01,TS
3,2220.271572,0.088276,-1.80009245e-03,1.77010919e-01,TS
3,2497.701306,0.088276,-1.17315051e-03,1.76700306e-01,TS
3,2809.796735,0.088276,-5.46279398e-04,1.76379438e-01,TS
3,3160.889444,0.088276,8.05793046e-05,1.76042512e-01,TS
3,3555.852262,0.088276,7.06239193e-04,1.75683026e-01,TS
3,4000.166894,0.088276,1.32806136e-03,1.75293941e-01,TS
3,4500.000000,0.088276,1.94174033e-03,1.74867982e-01,TS
3,300.000000,0.095862,-1.05244841e-02,2.30093553e-01,TS
3,337.485919,0.095862,-9.45673878e-03,2.29803320e-01,TS
3,379.655818,0.095862,-8.46526032e-03,2.29514356e-01,TS
3,427.094976,0.095862,-7.53831608e-03,2.29228075e-01,TS
3,480.461801,0.095862,-6.66561962e-03,2.28945240e-01,TS
3,540.496975,0.095862,-5.83810465e-03,2.28665955e-01,TS
3,608.033727,0.095862,-5.04775144e-03,2.28389659e-01,TS
3,684.009404,0.095862,-4.28745715e-03,2.28115104e-01,TS
3,769.478474,0.095862,-3.55094571e-03,2.27840341e-01,TS
3,865.627167,0.095862,-2.83271860e-03,2.27562703e-01,TS
3,973.789933,0.095862,-2.12805459e-03,2.27278814e-01,TS
3,1095.467968,0.095862,-1.43306958e-03,2.26984601e-01,TS
3,1232.350046,0.095862,-7.44846234e-04,2.26675330e-01,TS
3,1386.335959,0.095862,-6.16357144e-05,2.26345658e-01,TS
3,1559.562883,0.095862,6.16876574e-04,2.25989705e-01,TS
3,1754.435043,0.095862,1.28926085e-03,2.25601180e-01,TS
3,1973.657075,0.095862,1.95202097e-03,2.25173602e-01,TS
3,2220.271572,0.095862,2.59930705e-03,2.24700647e-01,TS
3,2497.701306,0.095862,3.22272406e-03,2.24176671e-01,TS
3,2809.796735,0.095862,3.81130727e-03,2.23597389e-01,TS
3,3160.889444,0.095862,4.35173264e-03,2.22960677e-01,TS
3,3555.852262,0.095862,4.82880839e-03,2.22267423e-01,TS
3,4000.166894,0.095862,5.22625676e-03,2.21522304e-01,TS
3,4500.000000,0.095862,5.52775823e-03,2.20734438e-01,TS
3,300.000000,0.103448,-6.77236495e-03,2.71773400e-01,TS
3,337.485919,0.103448,-5.84789295e-03,2.71557936e-01,TS
3,379.655818,0.103448,-4.97361461e-03,2.71336465e-01,TS
3,427.094976,0.103448,-4.14036603e-03,2.71108114e-01,TS
3,480.461801,0.103448,-3.34029864e-03,2.70871237e-01,TS
3,540.496975,0.103448,-2.56680591e-03,2.70623394e-01,TS
3,608.033727,0.103448,-1.81450426e-03,2.70361334e-01,TS
3,684.009404,0.103448,-1.07926624e-03,2.70080998e-01,TS
3,769.478474,0.103448,-3.58309239e-04,2.69777550e-01,TS
3,865.627167,0.103448,3.49653287e-04,2.69445454e-01,TS
3,973.789933,0.103448,1.04419115e-03,2.69078646e-01,TS
3,1095.467968,0.103448,1.72287332e-03,2.68670810e-01,TS
3,1232.350046,0.103448,2.38095214e-03,2.68215806e-01,TS
3,1386.335959,0.103448,3.01108251e-03,2.67708271e-01,TS
3,1559.562883,0.103448,3.60317513e-03,2.67144387e-01,TS
3,1754.435043,0.103448,4.14449507e-03,2.66522781e-01,TS
3,1973.657075,0.103448,4.62010179e-03,2.65845482e-01,TS
3,2220.271572,0.103448,5.01368666e-03,2.65118835e-01,TS
