Ma,Re_L,alpha_L,c_i
4,1754.435043,0.088276,3.04194121e-03
4,1754.435043,0.095862,2.94372911e-03
4,1754.435043,0.103448,2.20313921e-03
4,1754.435043,0.111034,1.68342769e-03
4,1754.435043,0.118621,1.34430119e-03
4,1754.435043,0.126207,1.20389488e-03
4,1754.435043,0.133793,8.13837379e-04
4,1754.435043,0.141379,5.39761673e-04
4,1754.435043,0.148966,4.38543545e-04
4,1754.435043,0.156552,3.28924408e-04
4,1754.435043,0.164138,5.29182346e-05
4,1754.435043,0.171724,-1.06532116e-04
4,1754.435043,0.179310,-1.50940060e-04
4,1754.435043,0.186897,-2.19735273e-04
4,1754.435043,0.194483,-2.43461758e-04
4,1754.435043,0.202069,-2.67358780e-04
4,1754.435043,0.209655,-5.82072641e-04
4,1754.435043,0.217241,-5.99109794e-04
4,1754.435043,0.224828,-6.07316150e-04
4,1754.435043,0.232414,-6.15231228e-04
4,1754.435043,0.240000,-6.25574761e-04
4,1973.657075,0.020000,-1.50609007e-02
4,1973.657075,0.027586,2.17833590e-02
4,1973.657075,0.035172,-2.34805829e-02
4,1973.657075,0.042759,-7.45009357e-03
4,1973.657075,0.050345,2.77052117e-03
4,1973.657075,0.057931,7.81370777e-03
4,1973.657075,0.065517,7.09513192e-03
4,1973.657075,0.073103,5.20105112e-03
4,1973.657075,0.080690,1.81238034e-03
4,1973.657075,0.088276,3.22286780e-03
4,1973.657075,0.095862,2.84947473e-03
4,1973.657075,0.103448,2.08908358e-03
4,1973.657075,0.111034,1.66381798e-03
4,1973.657075,0.118621,1.44978411e-03
4,1973.657075,0.126207,1.16575891e-03
4,1973.657075,0.133793,7.69454770e-04
4,1973.657075,0.141379,5.48831910e-04
4,1973.657075,0.148966,5.10587413e-04
4,1973.657075,0.156552,3.92562989e-04
4,1973.657075,0.164138,5.28991983e-05
4,1973.657075,0.171724,-5.53354100e-05
4,1973.657075,0.179310,-8.95501340e-05
4,1973.657075,0.186897,-1.47494554e-04
4,1973.657075,0.194483,-1.68672176e-04
4,1973.657075,0.202069,-1.93890203e-04
4,1973.657075,0.209655,-5.06428284e-04
4,1973.657075,0.217241,-5.15439403e-04
4,1973.657075,0.224828,-5.21826878e-04
4,1973.657075,0.232414,-5.30856480e-04
4,1973.657075,0.240000,-5.43168285e-04
4,2220.271572,0.020000,-1.23263019e-02
4,2220.271572,0.027586,2.27927222e-02
4,2220.271572,0.035172,-2.26149064e-02
4,2220.271572,0.042759,-7.11775737e-03
